Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6520.0777,0.0126,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.1574,0.0011,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.2372,0.0163,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.3169,0.0003,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.3966,0.0170,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.4762,0.0138,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.5559,0.0181,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.6355,0.0116,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.7151,0.0042,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.7947,-0.0004,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.8742,0.0043,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6520.9538,0.0088,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.0333,0.0096,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.1128,0.0186,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.1923,0.0192,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.2717,0.0019,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.3512,0.0046,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.4306,0.0242,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.5099,0.0195,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.5893,0.0100,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.6687,0.0085,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.7480,0.0096,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.8273,0.0026,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.9066,0.0117,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6521.9858,0.0079,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6522.0651,0.0039,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
